NAICS 	NAICS Title
11199807	ALL OTHER MISCELLANEOUS CROP FARMING              
11211201	CATTLE FEEDLOTS                                   
11211103	BEEF CATTLE RANCHING & FARMING                    
11211101	BEEF CATTLE RANCHING & FARMING                    
11211102	BEEF CATTLE RANCHING & FARMING                    
11221002	HOG & PIG FARMING                                 
11241001	SHEEP FARMING                                     
11241003	SHEEP FARMING                                     
11242001	GOAT FARMING                                      
11241002	SHEEP FARMING                                     
11299009	ALL OTHER ANIMAL PRODUCTION                       
11212001	DAIRY CATTLE & MILK PRODUCTION                    
11212003	DAIRY CATTLE & MILK PRODUCTION                    
11212002	DAIRY CATTLE & MILK PRODUCTION                    
11232001	BROILERS & OTHER MEAT TYPE CHICKEN PRODUCTION     
11231001	CHICKEN EGG PRODUCTION                            
11233001	TURKEY PRODUCTION                                 
11234001	POULTRY HATCHERIES                                
11239002	OTHER POULTRY PRODUCTION                          
11239003	OTHER POULTRY PRODUCTION                          
11239005	OTHER POULTRY PRODUCTION                          
11239004	OTHER POULTRY PRODUCTION                          
11239001	OTHER POULTRY PRODUCTION                          
11293002	FUR-BEARING ANIMAL & RABBIT PRODUCTION            
11293006	FUR-BEARING ANIMAL & RABBIT PRODUCTION            
11293004	FUR-BEARING ANIMAL & RABBIT PRODUCTION            
11293003	FUR-BEARING ANIMAL & RABBIT PRODUCTION            
11293001	FUR-BEARING ANIMAL & RABBIT PRODUCTION            
11292001	HORSE & OTHER EQUINE PRODUCTION                   
11251901	OTHER AQUACULTURE                                 
11251201	SHELLFISH FARMING                                 
11251202	SHELLFISH FARMING                                 
11251101	FINFISH FARMING & FISH HATCHERIES                 
11299006	ALL OTHER ANIMAL PRODUCTION                       
11291001	APICULTURE                                        
11299004	ALL OTHER ANIMAL PRODUCTION                       
11299007	ALL OTHER ANIMAL PRODUCTION                       
11299001	ALL OTHER ANIMAL PRODUCTION                       
11299011	ALL OTHER ANIMAL PRODUCTION                       
11251902	OTHER AQUACULTURE                                 
11299015	ALL OTHER ANIMAL PRODUCTION                       
11299005	ALL OTHER ANIMAL PRODUCTION                       
11251906	OTHER AQUACULTURE                                 
11299003	ALL OTHER ANIMAL PRODUCTION                       
11299013	ALL OTHER ANIMAL PRODUCTION                       
11299002	ALL OTHER ANIMAL PRODUCTION                       
11299014	ALL OTHER ANIMAL PRODUCTION                       
11299008	ALL OTHER ANIMAL PRODUCTION                       
11299017	ALL OTHER ANIMAL PRODUCTION                       
11511215	SOIL PREPARATION PLANTING & CULTIVATING           
11511208	SOIL PREPARATION PLANTING & CULTIVATING           
11511201	SOIL PREPARATION PLANTING & CULTIVATING           
11511209	SOIL PREPARATION PLANTING & CULTIVATING           
11511205	SOIL PREPARATION PLANTING & CULTIVATING           
11511211	SOIL PREPARATION PLANTING & CULTIVATING           
11511217	SOIL PREPARATION PLANTING & CULTIVATING           
11511212	SOIL PREPARATION PLANTING & CULTIVATING           
11511218	SOIL PREPARATION PLANTING & CULTIVATING           
11511210	SOIL PREPARATION PLANTING & CULTIVATING           
11511203	SOIL PREPARATION PLANTING & CULTIVATING           
48121903	OTHER NONSCHEDULED AIR TRANSPORTATION             
11511216	SOIL PREPARATION PLANTING & CULTIVATING           
11511207	SOIL PREPARATION PLANTING & CULTIVATING           
11511204	SOIL PREPARATION PLANTING & CULTIVATING           
11511214	SOIL PREPARATION PLANTING & CULTIVATING           
11511213	SOIL PREPARATION PLANTING & CULTIVATING           
11511202	SOIL PREPARATION PLANTING & CULTIVATING           
11511206	SOIL PREPARATION PLANTING & CULTIVATING           
11511303	CROP HARVESTING PRIMARILY BY MACHINE              
11511305	CROP HARVESTING PRIMARILY BY MACHINE              
11511304	CROP HARVESTING PRIMARILY BY MACHINE              
11511302	CROP HARVESTING PRIMARILY BY MACHINE              
11511301	CROP HARVESTING PRIMARILY BY MACHINE              
11511424	OTHER POST-HARVEST CROP ACTIVITIES                
11511403	OTHER POST-HARVEST CROP ACTIVITIES                
11511404	OTHER POST-HARVEST CROP ACTIVITIES                
11511405	OTHER POST-HARVEST CROP ACTIVITIES                
11511415	OTHER POST-HARVEST CROP ACTIVITIES                
11511414	OTHER POST-HARVEST CROP ACTIVITIES                
11511411	OTHER POST-HARVEST CROP ACTIVITIES                
11511419	OTHER POST-HARVEST CROP ACTIVITIES                
11511408	OTHER POST-HARVEST CROP ACTIVITIES                
11511423	OTHER POST-HARVEST CROP ACTIVITIES                
11511410	OTHER POST-HARVEST CROP ACTIVITIES                
11511416	OTHER POST-HARVEST CROP ACTIVITIES                
11511402	OTHER POST-HARVEST CROP ACTIVITIES                
11511401	OTHER POST-HARVEST CROP ACTIVITIES                
11511407	OTHER POST-HARVEST CROP ACTIVITIES                
11511412	OTHER POST-HARVEST CROP ACTIVITIES                
11511406	OTHER POST-HARVEST CROP ACTIVITIES                
11511420	OTHER POST-HARVEST CROP ACTIVITIES                
11511421	OTHER POST-HARVEST CROP ACTIVITIES                
11511425	OTHER POST-HARVEST CROP ACTIVITIES                
11511409	OTHER POST-HARVEST CROP ACTIVITIES                
11511101	COTTON GINNING                                    
11511102	COTTON GINNING                                    
54194015	VETERINARY SERVICES                               
54194009	VETERINARY SERVICES                               
54194007	VETERINARY SERVICES                               
54194002	VETERINARY SERVICES                               
54194008	VETERINARY SERVICES                               
54194003	VETERINARY SERVICES                               
54194001	VETERINARY SERVICES                               
54194006	VETERINARY SERVICES                               
54194011	VETERINARY SERVICES                               
54194010	VETERINARY SERVICES                               
54194013	VETERINARY SERVICES                               
54194012	VETERINARY SERVICES                               
54194016	VETERINARY SERVICES                               
54194017	VETERINARY SERVICES                               
54194018	VETERINARY SERVICES                               
54194019	VETERINARY SERVICES                               
54194022	VETERINARY SERVICES                               
54194023	VETERINARY SERVICES                               
54194024	VETERINARY SERVICES                               
11521022	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521010	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521009	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521011	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521002	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521016	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521014	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521019	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521020	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521023	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521012	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291020	PET CARE (EXCEPT VETERINARY) SERVICES             
81291013	PET CARE (EXCEPT VETERINARY) SERVICES             
81291003	PET CARE (EXCEPT VETERINARY) SERVICES             
81291021	PET CARE (EXCEPT VETERINARY) SERVICES             
81291007	PET CARE (EXCEPT VETERINARY) SERVICES             
11521004	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521005	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
11521008	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291018	PET CARE (EXCEPT VETERINARY) SERVICES             
81291028	PET CARE (EXCEPT VETERINARY) SERVICES             
81291002	PET CARE (EXCEPT VETERINARY) SERVICES             
81291016	PET CARE (EXCEPT VETERINARY) SERVICES             
11521015	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291001	PET CARE (EXCEPT VETERINARY) SERVICES             
81291011	PET CARE (EXCEPT VETERINARY) SERVICES             
81291015	PET CARE (EXCEPT VETERINARY) SERVICES             
11521007	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291019	PET CARE (EXCEPT VETERINARY) SERVICES             
11521006	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291004	PET CARE (EXCEPT VETERINARY) SERVICES             
81291008	PET CARE (EXCEPT VETERINARY) SERVICES             
81291014	PET CARE (EXCEPT VETERINARY) SERVICES             
81291010	PET CARE (EXCEPT VETERINARY) SERVICES             
11521018	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291023	PET CARE (EXCEPT VETERINARY) SERVICES             
11521021	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291012	PET CARE (EXCEPT VETERINARY) SERVICES             
81291006	PET CARE (EXCEPT VETERINARY) SERVICES             
81291009	PET CARE (EXCEPT VETERINARY) SERVICES             
81291017	PET CARE (EXCEPT VETERINARY) SERVICES             
81291022	PET CARE (EXCEPT VETERINARY) SERVICES             
81291024	PET CARE (EXCEPT VETERINARY) SERVICES             
11521003	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291025	PET CARE (EXCEPT VETERINARY) SERVICES             
11521024	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291026	PET CARE (EXCEPT VETERINARY) SERVICES             
11521025	SUPPORT ACTIVITIES FOR ANIMAL PRODUCTION          
81291027	PET CARE (EXCEPT VETERINARY) SERVICES             
11511506	FARM LABOR CONTRACTORS & CREW LEADERS             
11511502	FARM LABOR CONTRACTORS & CREW LEADERS             
11511505	FARM LABOR CONTRACTORS & CREW LEADERS             
11511501	FARM LABOR CONTRACTORS & CREW LEADERS             
11511504	FARM LABOR CONTRACTORS & CREW LEADERS             
11511503	FARM LABOR CONTRACTORS & CREW LEADERS             
11511601	FARM MANAGEMENT SERVICES                          
11511602	FARM MANAGEMENT SERVICES                          
11511606	FARM MANAGEMENT SERVICES                          
11511604	FARM MANAGEMENT SERVICES                          
11511603	FARM MANAGEMENT SERVICES                          
11511605	FARM MANAGEMENT SERVICES                          
11511607	FARM MANAGEMENT SERVICES                          
11511608	FARM MANAGEMENT SERVICES                          
54132001	LANDSCAPE ARCHITECTURAL SERVICES                  
54132003	LANDSCAPE ARCHITECTURAL SERVICES                  
54132004	LANDSCAPE ARCHITECTURAL SERVICES                  
54132006	LANDSCAPE ARCHITECTURAL SERVICES                  
54132002	LANDSCAPE ARCHITECTURAL SERVICES                  
54132005	LANDSCAPE ARCHITECTURAL SERVICES                  
54169001	OTHER SCIENTIFIC & TECHNICAL CONSULTING SERVICES  
54132007	LANDSCAPE ARCHITECTURAL SERVICES                  
54132008	LANDSCAPE ARCHITECTURAL SERVICES                  
56173027	LANDSCAPING SERVICES                              
54132014	LANDSCAPE ARCHITECTURAL SERVICES                  
56173017	LANDSCAPING SERVICES                              
56173016	LANDSCAPING SERVICES                              
56173019	LANDSCAPING SERVICES                              
56173009	LANDSCAPING SERVICES                              
56173020	LANDSCAPING SERVICES                              
56173011	LANDSCAPING SERVICES                              
56173021	LANDSCAPING SERVICES                              
56173006	LANDSCAPING SERVICES                              
56173012	LANDSCAPING SERVICES                              
56173014	LANDSCAPING SERVICES                              
56173007	LANDSCAPING SERVICES                              
56173018	LANDSCAPING SERVICES                              
56173008	LANDSCAPING SERVICES                              
56173026	LANDSCAPING SERVICES                              
56173001	LANDSCAPING SERVICES                              
56173003	LANDSCAPING SERVICES                              
56173004	LANDSCAPING SERVICES                              
56173005	LANDSCAPING SERVICES                              
56173025	LANDSCAPING SERVICES                              
56173013	LANDSCAPING SERVICES                              
56173028	LANDSCAPING SERVICES                              
56173030	LANDSCAPING SERVICES                              
56173022	LANDSCAPING SERVICES                              
56173010	LANDSCAPING SERVICES                              
56173023	LANDSCAPING SERVICES                              
56173002	LANDSCAPING SERVICES                              
56173024	LANDSCAPING SERVICES                              
56173029	LANDSCAPING SERVICES                              
56173015	LANDSCAPING SERVICES                              
11142105	NURSERY & TREE PRODUCTION                         
11311001	TIMBER TRACT OPERATIONS                           
11199808	ALL OTHER MISCELLANEOUS CROP FARMING              
11199809	ALL OTHER MISCELLANEOUS CROP FARMING              
11321001	FOREST NURSERIES & GATHERING OF FOREST PRODUCTS   
11531002	SUPPORT ACTIVITIES FOR FORESTRY                   
11531004	SUPPORT ACTIVITIES FOR FORESTRY                   
11531006	SUPPORT ACTIVITIES FOR FORESTRY                   
11531008	SUPPORT ACTIVITIES FOR FORESTRY                   
11531007	SUPPORT ACTIVITIES FOR FORESTRY                   
11531001	SUPPORT ACTIVITIES FOR FORESTRY                   
11531005	SUPPORT ACTIVITIES FOR FORESTRY                   
11531003	SUPPORT ACTIVITIES FOR FORESTRY                   
11411102	FINFISH FISHING                                   
11411101	FINFISH FISHING                                   
11411201	SHELLFISH FISHING                                 
11411203	SHELLFISH FISHING                                 
11411202	SHELLFISH FISHING                                 
11251905	OTHER AQUACULTURE                                 
11251904	OTHER AQUACULTURE                                 
11251903	OTHER AQUACULTURE                                 
11251102	FINFISH FARMING & FISH HATCHERIES                 
11421004	HUNTING & TRAPPING                                
11421006	HUNTING & TRAPPING                                
11421001	HUNTING & TRAPPING                                
11421003	HUNTING & TRAPPING                                
11421002	HUNTING & TRAPPING                                
11421005	HUNTING & TRAPPING                                
11421007	HUNTING & TRAPPING                                
11421008	HUNTING & TRAPPING                                
11421009	HUNTING & TRAPPING                                
21221001	IRON ORE MINING                                   
21223401	COPPER ORE & NICKEL ORE MINING                    
21223101	LEAD ORE & ZINC ORE MINING                        
21222102	GOLD ORE MINING                                   
21222103	GOLD ORE MINING                                   
21222101	GOLD ORE MINING                                   
21222201	SILVER ORE MINING                                 
21229901	ALL OTHER METAL ORE MINING                        
21311401	SUPPORT ACTIVITIES FOR METAL MINING               
23891034	SITE PREPARATION CONTRACTORS                      
21229101	URANIUM-RADIUM-VANADIUM ORE MINING                
21229103	URANIUM-RADIUM-VANADIUM ORE MINING                
21229903	ALL OTHER METAL ORE MINING                        
21229902	ALL OTHER METAL ORE MINING                        
21211102	BITUMINOUS COAL & LIGNITE SURFACE MINING          
21211101	BITUMINOUS COAL & LIGNITE SURFACE MINING          
21211201	BITUMINOUS COAL UNDERGROUND MINING                
21211301	ANTHRACITE MINING                                 
23891049	SITE PREPARATION CONTRACTORS                      
21311301	SUPPORT ACTIVITIES FOR COAL MINING                
21111102	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111101	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111104	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111103	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111105	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111106	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111107	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111108	CRUDE PETROLEUM & NATURAL GAS EXTRACTION          
21111201	NATURAL GAS LIQUID EXTRACTION                     
21311101	DRILLING OIL & GAS WELLS                          
21311106	DRILLING OIL & GAS WELLS                          
21311104	DRILLING OIL & GAS WELLS                          
21311105	DRILLING OIL & GAS WELLS                          
21311102	DRILLING OIL & GAS WELLS                          
21311108	DRILLING OIL & GAS WELLS                          
21311103	DRILLING OIL & GAS WELLS                          
54136009	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
21311208	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311203	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311202	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
54136006	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
54136008	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
21311214	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311109	DRILLING OIL & GAS WELLS                          
54136003	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
54136005	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
54136004	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
54136007	GEOPHYSICAL SURVEYING & MAPPING SERVICES          
21311201	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311205	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23891021	SITE PREPARATION CONTRACTORS                      
23891024	SITE PREPARATION CONTRACTORS                      
21311207	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23891023	SITE PREPARATION CONTRACTORS                      
23712002	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
23712001	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
23891026	SITE PREPARATION CONTRACTORS                      
23891027	SITE PREPARATION CONTRACTORS                      
23712003	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
23891028	SITE PREPARATION CONTRACTORS                      
21311209	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23891030	SITE PREPARATION CONTRACTORS                      
23712004	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
23891020	SITE PREPARATION CONTRACTORS                      
23891032	SITE PREPARATION CONTRACTORS                      
23891025	SITE PREPARATION CONTRACTORS                      
21311210	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23891031	SITE PREPARATION CONTRACTORS                      
23891018	SITE PREPARATION CONTRACTORS                      
23891019	SITE PREPARATION CONTRACTORS                      
23891022	SITE PREPARATION CONTRACTORS                      
23891029	SITE PREPARATION CONTRACTORS                      
21311206	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311211	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311212	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311213	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311216	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23891062	SITE PREPARATION CONTRACTORS                      
23712012	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
21311215	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21311217	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
23712013	OIL & GAS PIPELINE AND RELATED STRUCTURES CONSTR  
21311204	SUPPORT ACTIVITIES FOR OIL & GAS OPERATIONS       
21231102	DIMENSION STONE MINING & QUARRYING                
21231101	DIMENSION STONE MINING & QUARRYING                
21231203	CRUSHED & BROKEN LIMESTONE MINING & QUARRYING     
21231202	CRUSHED & BROKEN LIMESTONE MINING & QUARRYING     
21231201	CRUSHED & BROKEN LIMESTONE MINING & QUARRYING     
21231302	CRUSHED & BROKEN GRANITE MINING & QUARRYING       
21231303	CRUSHED & BROKEN GRANITE MINING & QUARRYING       
21231301	CRUSHED & BROKEN GRANITE MINING & QUARRYING       
21231907	OTHER CRUSHED & BROKEN STONE MINING & QUARRYING   
21231903	OTHER CRUSHED & BROKEN STONE MINING & QUARRYING   
21231902	OTHER CRUSHED & BROKEN STONE MINING & QUARRYING   
21232102	CONSTRUCTION SAND & GRAVEL MINING                 
21232101	CONSTRUCTION SAND & GRAVEL MINING                 
21232105	CONSTRUCTION SAND & GRAVEL MINING                 
21232104	CONSTRUCTION SAND & GRAVEL MINING                 
21232202	INDUSTRIAL SAND MINING                            
21232201	INDUSTRIAL SAND MINING                            
21232401	KAOLIN & BALL CLAY MINING                         
21232502	CLAY CERAMIC & REFRACTORY MINERALS MINING         
21232501	CLAY CERAMIC & REFRACTORY MINERALS MINING         
21232503	CLAY CERAMIC & REFRACTORY MINERALS MINING         
21239101	POTASH SODA & BORATE MINERAL MINING               
21239201	PHOSPHATE ROCK MINING                             
21239305	OTHER CHEMICAL & FERTILIZER MINERAL MINING        
21239302	OTHER CHEMICAL & FERTILIZER MINERAL MINING        
21239303	OTHER CHEMICAL & FERTILIZER MINERAL MINING        
21239304	OTHER CHEMICAL & FERTILIZER MINERAL MINING        
21239301	OTHER CHEMICAL & FERTILIZER MINERAL MINING        
21311501	SUPPORT ACTVTS-NONMTLLC MNRLS (EXC FUELS) MINING  
21239903	ALL OTHER NONMETALLIC MINERAL MINING              
21239902	ALL OTHER NONMETALLIC MINERAL MINING              
21239904	ALL OTHER NONMETALLIC MINERAL MINING              
21239901	ALL OTHER NONMETALLIC MINERAL MINING              
21239908	ALL OTHER NONMETALLIC MINERAL MINING              
21239906	ALL OTHER NONMETALLIC MINERAL MINING              
21239907	ALL OTHER NONMETALLIC MINERAL MINING              
21231901	OTHER CRUSHED & BROKEN STONE MINING & QUARRYING   
21239905	ALL OTHER NONMETALLIC MINERAL MINING              
23611821	RESIDENTIAL REMODELERS                            
23611503	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611505	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611805	RESIDENTIAL REMODELERS                            
23611816	RESIDENTIAL REMODELERS                            
23611808	RESIDENTIAL REMODELERS                            
23611822	RESIDENTIAL REMODELERS                            
23611831	RESIDENTIAL REMODELERS                            
23611824	RESIDENTIAL REMODELERS                            
23611828	RESIDENTIAL REMODELERS                            
23611825	RESIDENTIAL REMODELERS                            
23611506	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611803	RESIDENTIAL REMODELERS                            
23611813	RESIDENTIAL REMODELERS                            
23611815	RESIDENTIAL REMODELERS                            
23611818	RESIDENTIAL REMODELERS                            
23611817	RESIDENTIAL REMODELERS                            
23611819	RESIDENTIAL REMODELERS                            
23611829	RESIDENTIAL REMODELERS                            
23611806	RESIDENTIAL REMODELERS                            
23611814	RESIDENTIAL REMODELERS                            
23611830	RESIDENTIAL REMODELERS                            
23611804	RESIDENTIAL REMODELERS                            
23611801	RESIDENTIAL REMODELERS                            
23611810	RESIDENTIAL REMODELERS                            
23611504	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611507	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611802	RESIDENTIAL REMODELERS                            
23611809	RESIDENTIAL REMODELERS                            
23611502	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611827	RESIDENTIAL REMODELERS                            
23611811	RESIDENTIAL REMODELERS                            
23611508	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611812	RESIDENTIAL REMODELERS                            
23611820	RESIDENTIAL REMODELERS                            
23611501	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611826	RESIDENTIAL REMODELERS                            
23611807	RESIDENTIAL REMODELERS                            
23611823	RESIDENTIAL REMODELERS                            
23611509	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611510	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611514	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611511	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611512	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611832	RESIDENTIAL REMODELERS                            
23611833	RESIDENTIAL REMODELERS                            
23611513	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611515	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611837	RESIDENTIAL REMODELERS                            
23611838	RESIDENTIAL REMODELERS                            
23611839	RESIDENTIAL REMODELERS                            
23611516	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611840	RESIDENTIAL REMODELERS                            
23611517	NEW SINGLE-FAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)
23611841	RESIDENTIAL REMODELERS                            
23611842	RESIDENTIAL REMODELERS                            
23611835	RESIDENTIAL REMODELERS                            
23622028	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23611601	NEW MULTIFAMILY HSNG CONSTR (EXC FOR-SALE BLDRS)  
23622004	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23611834	RESIDENTIAL REMODELERS                            
23622046	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23611836	RESIDENTIAL REMODELERS                            
23611702	NEW HOUSING FOR-SALE BUILDERS                     
23611701	NEW HOUSING FOR-SALE BUILDERS                     
23622006	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23621002	INDUSTRIAL BUILDING CONSTRUCTION                  
23622014	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622038	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622037	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23621003	INDUSTRIAL BUILDING CONSTRUCTION                  
23621001	INDUSTRIAL BUILDING CONSTRUCTION                  
23622039	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622036	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23621004	INDUSTRIAL BUILDING CONSTRUCTION                  
23622027	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622029	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622034	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622032	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622021	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622019	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622022	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622003	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622017	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622008	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622001	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622012	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622005	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
23622010	COMMERCIAL & INSTITUTIONAL BUILDING CONSTRUCTION  
