Part Number,Part Description,CG Quote #,Brand,Quote Date,Expires Date,Quote Qty,Price,FOB,Quote Notes
20528055C,2.05280.565COND,1208,COLSON BRAND,05/31/17,08/29/17,0.00,0.00000,N/A,
000000,DL25NRP100SWTP01,1211,MEDCASTER BRAND,05/31/17,08/29/17,0.00,0.00000,N/A,
4061495E9,4.06109.5E9 SS,1215,COLSON BRAND,06/01/17,08/30/17,0.00,0.00000,N/A,
531000025213GCF,5-31-213GFC-PLT2,1240,JARVIS BRAND,06/13/17,09/11/17,0.00,0.00000,N/A,
40819996TS,4.08199.96TS,1276,COLSON BRAND,07/03/17,10/01/17,0.00,0.00000,N/A,
20425195025,2.04251.95 MTG2 BRK5,1281,COLSON BRAND,07/06/17,10/04/17,0.00,0.00000,N/A,
505000835E,5.00005.835EN  ENDURA,1291,COLSON BRAND,07/11/17,10/09/17,0.00,16.75000,N/A,
506000835E,5.00006.835EN,1291,COLSON BRAND,07/11/17,10/09/17,0.00,21.33000,N/A,
52007.94,"TG1 5""MOR, PHN & 4"" MOP",1291,NO BRAND ASSIGNED,07/11/17,10/09/17,0.00,0.48000,N/A,
57551.05,THD-GUARD 5 SERIES 5"-6" METAL,1291,COLSON BRAND,07/11/17,10/09/17,0.00,0.43000,N/A,
204256445005,2.04256.445 BRK5,1351,COLSON BRAND,08/15/17,11/13/17,0.00,10.63000,N/A,
000000,SAME AS 03181.68 6X2 WHEEL EXCEPT ORANGE TREAD W/GRAY CORE,1352,COLSON BRAND,08/15/17,11/13/17,0.00,0.00000,N/A,
16YA04201S063,"16 SER 4"", 3-3/8""AD,1.3 LD,",1354,ALBION BRAND,08/16/17,11/14/17,0.00,0.00000,N/A,
